ds,yhat,yhat_lower,yhat_upper
2023-01-01,930.661805561911,872.4491105342698,993.0990729228266
2023-01-02,1009.5968786805115,946.8576324494989,1070.3634986881418
2023-01-03,1079.0811787122045,1014.3231572237815,1141.9913738606572
2023-01-04,1104.8079529235472,1046.7643910438076,1166.139520352952
2023-01-05,1045.9947448103032,983.1971764871997,1111.644111986169
2023-01-06,965.2703175980785,906.3725691229963,1032.3180148285633
2023-01-07,911.5426848163243,850.0079595296266,971.7468865829816
2023-01-08,932.3893297251598,868.2384208953572,995.2981613009922
2023-01-09,1010.1570424175377,949.19127829778,1074.9484504505806
2023-01-10,1078.659468987056,1013.9753635100341,1136.0922877973042
2023-01-11,1103.6089028624124,1041.7221660669265,1164.8429802391925
2023-01-12,1044.236677711614,982.6207974227403,1106.513398609723
2023-01-13,963.1798477963954,898.2941673821153,1027.353494668442
2023-01-14,909.3491210228191,847.4862088363334,967.2457678164227
2023-01-15,930.3191266947301,867.8033428074934,995.9944010008282
2023-01-16,1008.4284430716043,950.0147167172396,1070.9484197008514
2023-01-17,1077.4774716180332,1014.7583311973857,1140.6358572294305
2023-01-18,1103.1606769997074,1042.7861421846803,1163.5832402146136
2023-01-19,1044.6875380266881,982.0167252923475,1104.6325402242549
2023-01-20,964.6698784556012,902.0301289081679,1027.2366545003003
2023-01-21,911.9905237160353,850.1511066336515,975.3169681789143
2023-01-22,934.1943447085118,876.0684281378054,995.2707175538679
2023-01-23,1013.5890918547223,952.1328901765482,1073.268394500499
2023-01-24,1083.9440839239865,1022.5475057027332,1144.775231222788
2023-01-25,1110.9232485195835,1053.298455960079,1173.3667537345334
2023-01-26,1053.7068380549647,991.6616356914595,1117.1484431316198
2023-01-27,974.879470150577,911.9851973857145,1036.070353164725
2023-01-28,923.2994204554358,860.7356964194363,985.3521906815049
2023-01-29,946.4902133860556,886.0593255311377,1008.9870126122166
2023-01-30,1026.741901087933,963.5886455264006,1086.6857587478949
2023-01-31,1097.8100854157335,1036.0290427517073,1157.6974732107244
2023-02-01,1125.3491733027074,1064.1609517777817,1187.7251099996504
2023-02-02,1068.5341865492903,1010.3180406892416,1129.668276479594
2023-02-03,989.9487753005428,930.4003549852002,1050.694930827126
2023-02-04,938.4543672035117,879.6018885195809,998.5005170719119
2023-02-05,961.5815048519025,902.2350042843065,1026.9852271350276
2023-02-06,1041.6307719147378,976.910550612751,1103.9598048434016
2023-02-07,1112.3713754359358,1051.223619248816,1172.2718350631844
2023-02-08,1139.4738896742338,1075.3806881922592,1203.546164718357
2023-02-09,1082.1314989844486,1020.3700092187262,1149.0850423037432
2023-02-10,1002.9474070484246,940.1583430847779,1061.4964484772045
2023-02-11,950.8033628955893,892.4217182867922,1013.3499730734502
2023-02-12,973.2503750089961,908.4892887062925,1039.2515130412482
2023-02-13,1052.6090321597717,993.3427388786805,1118.5185470466479
2023-02-14,1122.6675157554287,1060.9299594064014,1187.665653812233
2023-02-15,1149.1138249471073,1088.2032226081253,1208.3436788662646
2023-02-16,1091.156565984403,1031.7104130894859,1153.77262217632
2023-02-17,1011.4119848782813,949.7642419197629,1075.3843009900706
2023-02-18,958.7722030025294,898.8199775887714,1020.2220039746998
2023-02-19,980.7957333461085,918.5304865925827,1041.4106691786997
2023-02-20,1059.807699558213,996.8574061259945,1120.7605668513609
2023-02-21,1129.5978431063556,1066.2333939400069,1193.9129283954157
2023-02-22,1155.8528373987638,1097.6447724279572,1218.9203948711188
2023-02-23,1097.7772551672745,1034.44472837323,1153.4484465334856
2023-02-24,1017.9808603806906,956.6774542274017,1080.7831885729777
2023-02-25,965.3471742228833,904.5458275495934,1024.8646510317221
2023-02-26,987.4243807744634,923.4817254906483,1046.184463664695
2023-02-27,1066.5259809045597,1006.205708847893,1127.6721056212668
2023-02-28,1136.4292649313793,1075.5338521920376,1197.7294423968629
2023-03-01,1162.8081076066403,1102.3320982643666,1225.6475883550813
2023-03-02,1104.8544154654267,1043.802789340407,1164.4580966333685
2023-03-03,1025.1658838061878,967.4936117196397,1084.389606919844
2023-03-04,972.6149969892622,911.505500296551,1035.7916563930717
2023-03-05,994.7403249925549,930.2045833374553,1053.935807557741
2023-03-06,1073.8475128307045,1009.9126381362183,1131.230370841061
2023-03-07,1143.7080235517526,1082.372566867727,1206.9739941931734
2023-03-08,1169.9921305737691,1110.1410644226717,1237.4959510798642
2023-03-09,1111.8904848038076,1047.9855795197716,1171.9302015717115
2023-03-10,1032.0019097628513,967.1322416569398,1094.7905028700748
2023-03-11,979.2023595425554,919.2321406379601,1043.8285175186768
2023-03-12,1001.0360942597456,937.435077833453,1059.2614865937087
2023-03-13,1079.8164745575273,1017.0361438441356,1145.6180521402775
2023-03-14,1149.3244429271504,1089.3986495860727,1212.2620998298323
2023-03-15,1175.2411966828765,1110.4706742009018,1237.5655270711702
2023-03-16,1116.7693887975377,1052.2717807709384,1176.148867972809
2023-03-17,1036.520521934178,973.589494764377,1094.8636617245938
2023-03-18,983.383483564446,920.5497487460092,1043.0950810282275
2023-03-19,1004.9152904438367,941.2651721216218,1071.6619507027265
2023-03-20,1083.4414577073314,1022.7516680753322,1142.1322278407285
2023-03-21,1152.7540737607123,1093.970246029441,1211.391169925757
2023-03-22,1178.544098477281,1117.2512902955364,1241.6733839734422
2023-03-23,1120.022232474023,1061.0637389007723,1185.6645397493655
2023-03-24,1039.8060329205605,974.9531840709236,1102.1515445240366
2023-03-25,986.7882321328633,927.8652751421888,1049.9884096647124
2023-03-26,1008.5273336012239,946.6185919488744,1072.3037701554847
